Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,Ht,OD,bf,B,tw,tf,tnom,tdes,Ix,Iy,J
W,W21X83,W21X83,83,24.4,21.4,,,8.36,,0.515,0.835,,,1830,81.4,4.34
W,W21X73,W21X73,73,21.5,21.2,,,8.3,,0.455,0.74,,,1600,70.6,3.02
W,W21X68,W21X68,68,20,21.1,,,8.27,,0.43,0.685,,,1480,64.7,2.45
W,W21X62,W21X62,62,18.3,21,,,8.24,,0.4,0.615,,,1330,57.5,1.83
W,W21X55,W21X55,55,16.2,20.8,,,8.22,,0.375,0.522,,,1140,48.4,1.24
W,W21X48,W21X48,48,14.1,20.6,,,8.14,,0.35,0.43,,,959,38.7,0.803
W,W21X57,W21X57,57,16.7,21.1,,,6.56,,0.405,0.65,,,1170,30.6,1.77
W,W21X50,W21X50,50,14.7,20.8,,,6.53,,0.38,0.535,,,984,24.9,1.14
W,W21X44,W21X44,44,13,20.7,,,6.5,,0.35,0.45,,,843,20.7,0.77
W,W18X311,W18X311,311,91.6,22.3,,,12,,1.52,2.74,,,6970,795,176
W,W18X283,W18X283,283,83.3,21.9,,,11.9,,1.4,2.5,,,6170,704,134
W,W18X258,W18X258,258,76,21.5,,,11.8,,1.28,2.3,,,5510,628,103
W,W18X234,W18X234,234,68.6,21.1,,,11.7,,1.16,2.11,,,4900,558,78.7
W,W18X211,W18X211,211,62.3,20.7,,,11.6,,1.06,1.91,,,4330,493,58.6
W,W18X192,W18X192,192,56.2,20.4,,,11.5,,0.96,1.75,,,3870,440,44.7
W,W18X175,W18X175,175,51.4,20,,,11.4,,0.89,1.59,,,3450,391,33.8
W,W18X158,W18X158,158,46.3,19.7,,,11.3,,0.81,1.44,,,3060,347,25.2
W,W18X143,W18X143,143,42,19.5,,,11.2,,0.73,1.32,,,2750,311,19.2
W,W18X130,W18X130,130,38.3,19.3,,,11.2,,0.67,1.2,,,2460,278,14.5
W,W18X119,W18X119,119,35.1,19,,,11.3,,0.655,1.06,,,2190,253,10.6
W,W18X106,W18X106,106,31.1,18.7,,,11.2,,0.59,0.94,,,1910,220,7.48
W,W18X97,W18X97,97,28.5,18.6,,,11.1,,0.535,0.87,,,1750,201,5.86
W,W18X86,W18X86,86,25.3,18.4,,,11.1,,0.48,0.77,,,1530,175,4.1
W,W18X76,W18X76,76,22.3,18.2,,,11,,0.425,0.68,,,1330,152,2.83
W,W18X71,W18X71,71,20.9,18.5,,,7.64,,0.495,0.81,,,1170,60.3,3.49
W,W18X65,W18X65,65,19.1,18.4,,,7.59,,0.45,0.75,,,1070,54.8,2.73
W,W18X60,W18X60,60,17.6,18.2,,,7.56,,0.415,0.695,,,984,50.1,2.17
W,W18X55,W18X55,55,16.2,18.1,,,7.53,,0.39,0.63,,,890,44.9,1.66
W,W18X50,W18X50,50,14.7,18,,,7.5,,0.355,0.57,,,800,40.1,1.24
W,W18X46,W18X46,46,13.5,18.1,,,6.06,,0.36,0.605,,,712,22.5,1.22
W,W18X40,W18X40,40,11.8,17.9,,,6.02,,0.315,0.525,,,612,19.1,0.81
W,W18X35,W18X35,35,10.3,17.7,,,6,,0.3,0.425,,,510,15.3,0.506
W,W16X100,W16X100,100,29.4,17,,,10.4,,0.585,0.985,,,1490,186,7.73
W,W16X89,W16X89,89,26.2,16.8,,,10.4,,0.525,0.875,,,1300,163,5.45
W,W16X77,W16X77,77,22.6,16.5,,,10.3,,0.455,0.76,,,1110,138,3.57
W,W16X67,W16X67,67,19.6,16.3,,,10.2,,0.395,0.665,,,954,119,2.39
W,W16X57,W16X57,57,16.8,16.4,,,7.12,,0.43,0.715,,,758,43.1,2.22
W,W16X50,W16X50,50,14.7,16.3,,,7.07,,0.38,0.63,,,659,37.2,1.52
W,W16X45,W16X45,45,13.3,16.1,,,7.04,,0.345,0.565,,,586,32.8,1.11
W,W16X40,W16X40,40,11.8,16,,,7,,0.305,0.505,,,518,28.9,0.794
W,W16X36,W16X36,36,10.6,15.9,,,6.99,,0.295,0.43,,,448,24.5,0.545
W,W16X31,W16X31,31,9.13,15.9,,,5.53,,0.275,0.44,,,375,12.4,0.461
W,W16X26,W16X26,26,7.68,15.7,,,5.5,,0.25,0.345,,,301,9.59,0.262
W,W14X873,W14X873,873,257,23.6,,,18.8,,3.94,5.51,,,18100,6170,2270
W,W14X808,W14X808,808,238,22.8,,,18.6,,3.74,5.12,,,15900,5550,1840
W,W14X730,W14X730,730,215,22.4,,,17.9,,3.07,4.91,,,14300,4720,1450
W,W14X665,W14X665,665,196,21.6,,,17.7,,2.83,4.52,,,12400,4170,1120
W,W14X605,W14X605,605,178,20.9,,,17.4,,2.6,4.16,,,10800,3680,869
W,W14X550,W14X550,550,162,20.2,,,17.2,,2.38,3.82,,,9430,3250,669
W,W14X500,W14X500,500,147,19.6,,,17,,2.19,3.5,,,8210,2880,514
W,W14X455,W14X455,455,134,19,,,16.8,,2.02,3.21,,,7190,2560,395
W,W14X426,W14X426,426,125,18.7,,,16.7,,1.88,3.04,,,6600,2360,331
W,W14X398,W14X398,398,117,18.3,,,16.6,,1.77,2.85,,,6000,2170,273
W,W14X370,W14X370,370,109,17.9,,,16.5,,1.66,2.66,,,5440,1990,222
W,W14X342,W14X342,342,101,17.5,,,16.4,,1.54,2.47,,,4900,1810,178
